GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),GPS Altitude(ft),Acceleration Sensor(Total)(g),Acceleration Sensor(Z axis)(g),Speed (OBD)(mph),Engine RPM(rpm),Engine Coolant Temperature(°C)
Sat Apr 13 15:30:46 CDT 2019,30:49.3,-88.17586526,41.80895001,0,3,173,0,-0.21068975,-0.24899697,9.615114,-3.02E-04,567.5853062,-3.02E-04,0.880133927,0,718,-
Sat Apr 13 15:30:46 CDT 2019,30:50.3,-88.17586526,41.80895001,0,3,173,0,-0.2681506,-0.2873042,9.710882,0.009706497,567.5853062,0.009706497,0.889896214,0,718,-
Sat Apr 13 15:30:51 CDT 2019,30:51.3,-88.17586526,41.80895001,0,3,173,0,-0.2681506,-0.2873042,9.672575,0.003826171,567.5853062,0.003826171,0.885991275,0,718,-
Sat Apr 13 15:30:51 CDT 2019,30:52.3,-88.17586526,41.80895001,0,3,173,0,-0.22984336,-0.22984336,9.653421,0.003745556,567.5853062,0.003745556,0.884038866,0,718,-
Sat Apr 13 15:30:51 CDT 2019,30:53.3,-88.17586526,41.80895001,0,3,173,0,-0.21068975,-0.2681506,9.672575,0.00560391,567.5853062,0.005603909,0.885991275,0,718,-
Sat Apr 13 15:30:51 CDT 2019,30:54.3,-88.17586526,41.80895001,0,3,173,0,-0.22984336,-0.24899697,9.710882,0.009498715,567.5853062,0.00483538,0.887943745,0,718,-
Sat Apr 13 15:30:51 CDT 2019,30:55.3,-88.17586526,41.80895001,0,3,173,0,-0.22984336,-0.2873042,9.730036,0.0089963,567.5853062,0.008996299,0.891848683,0,718,-
Sat Apr 13 15:30:56 CDT 2019,30:56.3,-88.17586526,41.80895001,0,3,173,0,-0.19153613,-0.24899697,9.595961,-0.00229454,567.5853062,-0.00229454,0.878181458,0,718,-
Sat Apr 13 15:30:56 CDT 2019,30:57.3,-88.17586526,41.80895001,0,3,173,0,-0.2873042,-0.2681506,9.615114,-4.77E-05,567.5853062,-4.77E-05,0.880133927,0,718,-
Sat Apr 13 15:30:56 CDT 2019,30:58.3,-88.17586526,41.80895001,0,3,173,0,-0.21068975,-0.2681506,9.615114,0.006152915,567.5853062,0.006152915,0.880133927,0,718,-
Sat Apr 13 15:30:56 CDT 2019,30:59.3,-88.17586526,41.80895001,0,3,173,0,-0.21068975,-0.2873042,9.634268,0.001757681,567.5853062,0.001757681,0.882086396,0,718,-
Sat Apr 13 15:30:56 CDT 2019,31:00.3,-88.17586526,41.80895001,0,3,173,0,-0.24899697,-0.2681506,9.749189,0.013500929,567.5853062,0.013500929,0.893801153,0,718,-
Sat Apr 13 15:31:01 CDT 2019,31:01.3,-88.17586526,41.80895001,0,3,173,0,-0.2681506,-0.2873042,9.615114,-4.77E-05,567.5853062,-4.77E-05,0.880133927,0,718,-
Sat Apr 13 15:31:01 CDT 2019,31:02.3,-88.17586526,41.80895001,0,3,173,0,-0.2681506,-0.2681506,9.691729,0.006132722,567.5853062,0.006132722,0.887943745,0,718,-
